%time,field.x,field.y,field.theta,field.linear_velocity,field.angular_velocity
1550525675433856701,5.544444561,5.544444561,0.0,0.0,0.0
1550525675449871653,5.544444561,5.544444561,0.0,0.0,0.0
1550525675465865406,5.544444561,5.544444561,0.0,0.0,0.0
1550525675481872779,5.544444561,5.544444561,0.0,0.0,0.0
1550525675497866540,5.544444561,5.544444561,0.0,0.0,0.0
1550525675513832212,5.544444561,5.544444561,0.0,0.0,0.0
1550525675529876777,5.544444561,5.544444561,0.0,0.0,0.0
1550525675545860394,5.544444561,5.544444561,0.0,0.0,0.0
1550525675561874360,5.544444561,5.544444561,0.0,0.0,0.0
1550525675577871291,5.544444561,5.544444561,0.0,0.0,0.0
1550525675593857658,5.544444561,5.544444561,0.0,0.0,0.0
1550525675609867293,5.544444561,5.544444561,0.0,0.0,0.0
1550525675625872147,5.544444561,5.544444561,0.0,0.0,0.0
1550525675641874271,5.544444561,5.544444561,0.0,0.0,0.0
1550525675657873560,5.544444561,5.544444561,0.0,0.0,0.0
1550525675673853724,5.544444561,5.544444561,0.0,0.0,0.0
1550525675689872724,5.544444561,5.544444561,0.0,0.0,0.0
1550525675705867585,5.544444561,5.544444561,0.0,0.0,0.0
1550525675721874418,5.544444561,5.544444561,0.0,0.0,0.0
1550525675737869906,5.544444561,5.544444561,0.0,0.0,0.0
1550525675753853881,5.544444561,5.544444561,0.0,0.0,0.0
1550525675769873799,5.544444561,5.544444561,0.0,0.0,0.0
1550525675785870064,5.544444561,5.544444561,0.0,0.0,0.0
1550525675801869926,5.544444561,5.544444561,0.0,0.0,0.0
1550525675817862040,5.544444561,5.544444561,0.0,0.0,0.0
1550525675833853854,5.544444561,5.544444561,0.0,0.0,0.0
1550525675849873034,5.544444561,5.544444561,0.0,0.0,0.0
1550525675865875981,5.544444561,5.544444561,0.0,0.0,0.0
1550525675881874505,5.544444561,5.544444561,0.0,0.0,0.0
1550525675897881959,5.544444561,5.544444561,0.0,0.0,0.0
1550525675913847662,5.544444561,5.544444561,0.0,0.0,0.0
1550525675929873345,5.544444561,5.544444561,0.0,0.0,0.0
